상호명,이전 전 주소,이전 후 상세주소,비고,출처
북천 수제 돈가스,서울 용산구 한강대로38가길 7-2,서울 용산구 한강대로 46,용산구 내 이전,블로그
버거보이,서울 용산구 한강대로15길 29,서울 서초구 서초대로 3-4,타 지역으로 이전,블로그
포포유,서울 용산구 한강대로 100,서울 성동구 서울숲길 47,타 지역으로 이전,블로그
24시용산 원조감자탕,서울 용산구 청파로 393,서울 마포구 만리재로 148,타 지역으로 이전,블로그
백년손님,서울 용산구,서울 종로구 돈화문로10가길 9,타 지역으로 이전,블로그
한남동 한방통닭,서울 용산구 대사관로34길 38,서울 송파구 백제고분로41길 29,타 지역으로 이전,블로그
바다 식당,서울 용산구 한강대로71길 22,서울 마포구 용강동 494-65,타 지역으로 이전,블로그
테이블포포,서울 용산구 이태원로55가길 31,서울 마포구 월드컵북로5나길 20,타 지역으로 이전,블로그
르솔레이,서울 서대문구 연희로11가길 32,서울 용산구 이태원로54길 58-10,타 지역에서 이전,블로그
아뜰리에 폰드,서울 용산구 후암동,서울 중구 필동로1길 30-2,타 지역으로 이전,인스타그램
오복 함흥냉면,서울 용산구 한강대로84길 4,서울 마포구 도화동 558,타 지역으로 이전,블로그
오레노라멘,서울 마포구 독막로6길 14,"서울 용산구 서빙고로 17, 센트럴파크타워 1층 107호",용산구 내 이전,블로그
카페 틸데,서울 용산구 후암동,서울 마포구 희우정로10길 21,타 지역으로 이전,블로그
만족돈까스,서울 용산구 원효로 244-2,서울 용산구 원효로 212-3,용산구 내 이전,블로그
설유가,서울 용산구 남영동 (숙대입구),서울 마포구 백범로 152,타 지역으로 이전,블로그
히피서울 (Hippie Seoul),서울 용산구 해방촌,서울 마포구 포은로 96,타 지역으로 이전,블로그
한입 소반,서울 용산구 청파로45길 3,서울 용산구 한강대로 153,용산구 내 이전,블로그
올드 나이브스 (Old Knives),서울 용산구 용산동2가 27-5,서울 용산구 한강대로 163 1층,용산구 내 이전,블로그
소소막창,서울 용산구 청파동 (숙대입구),서울 용산구 한강대로 280,용산구 내 이전,블로그
착한 식당,서울 용산구 원효로 156,서울 용산구 원효로41길 41,용산구 내 이전,블로그
이태원 바다식당,서울 용산구 이태원동,서울 용산구 이태원로49길 18,이전하지 않음,블로그
닌자 233,서울 용산구 해방촌,서울 성동구 연무장5가길 25 1층,타 지역으로 이전,블로그
